,Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description ",Sector,Main activity,Description in Original language,Description in English,Website,"Operating result [=EBIT]
mEUR 2021","Operating result [=EBIT]
mEUR 2020","Operating result [=EBIT]
mEUR 2019","Turnover
mEUR 2021","Turnover
mEUR 2020","Turnover
mEUR 2019",Availability of financial data,2 years of consecutive losses,Average loss over 3 years
293,PASQUALI DOMENICI SOCIETA' A RESPONSABILITA' LIMITATA,IT,Italie,VIAREGGIO,VIA CESARE BATTISTI 159/161,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,www.pasqualidomenici.it,0,0,0,8,7,5,YES,NO,NO
294,8 MARZO S.R.L.,IT,Italie,CASIER,VIA ENRICO BARONE 1 C-D,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,,www.nanaitalianheart.com,0,0,0,8,6,9,YES,NO,NO
295,MONTRES & BIJOUX S.R.L.,IT,Italie,GENOVA,PIAZZA RAFFAELE DE FERRARI 3/R,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the organization of worldwide trade fairs,Services,"DETTAGLIO DI OREFICERIA, OROLOGERIA E ARTICOLI DA REGALO",Engaged in the organization of worldwide trade fairs [source: Bureau van Dijk],"www.montresbijoux.com
montresbijoux.com",2,1,1,8,5,6,YES,NO,NO
296,JOYERIA CALVO MACIAS A CORUNA SL,ES,Espagne,A CORUNA,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,Comercio al por menor de artículos de relojería y joyería.,,www.joyeriacalvo.com,0,0,0,8,6,6,YES,NO,NO
297,OLD ENGLAND S.R.L.,IT,Italie,MIRANO,VIA GUGLIELMO MARCONI 21,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of apparel,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the retail sale of apparel [source: Bureau van Dijk],www.xetraitalia.it,0,0,0,8,6,11,YES,NO,YES
298,"MASALVES - CALCADO UNIPESSOAL, LDA",PT,Portugal,FELGUEIRAS,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the wholesale distribution of men's and boys' clothing and furnishings,Wholesale,"Comércio a retalho de calçado, em estabelecimentos especializados/ Comércio por grosso de calçado/ Comércio a retalho de marroquinaria e artigos de viagem, em estabelecimentos especializados",Engaged in the wholesale distribution of men's and boys' clothing and furnishings [source: Bureau van Dijk],"www.manuelalves.pt
manuelalves.pt",0,0,0,8,7,10,YES,NO,NO
299,AMO DIZAJN JJ D.O.O.,HR,Croatie,ZAGREB,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,,0,-1,0,8,6,9,YES,YES,
300,DAD & SONS S.R.L.,IT,Italie,NAPOLI,VIA TOLEDO 418,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,,,1,0,0,8,5,9,YES,NO,NO
301,MARTA SRL,IT,Italie,MONTICELLO CONTE OTTO,VIA VENEZIA 5,4771,Commerce de détail d'habillement en magasin spécialisé,An Italy based enterprise engaged in the manufacture and distribution of clothing and other related products,Manufacturing; Wholesale,"COMMERCIO AL DETTAGLIO DI BIANCHERIA PERSONALE, MAGLIERIA, CAMICIE",An Italy based enterprise engaged in the manufacture and distribution of clothing and other related products [source: Bureau van Dijk],www.martait.it,1,1,0,7,6,7,YES,NO,NO
302,CONAN REY SA,ES,Espagne,MADRID,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the wholesale distribution of clothing, footwear, and leather goods",Wholesale,Comercio al por menor de prendas de vestir de marcas de lujo y gestión de tienda física y on line.,"Engaged in the wholesale distribution of clothing, footwear, and leather goods [source: Bureau van Dijk]",www.ekseption.com,0,0,0,7,7,7,YES,YES,
303,BB NEW LOOK D.O.O. MOSTAR,BA,Bosnie-Herzégovine,MOSTAR,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,"Retail sale of footwear;Retail sale of men's and women's assemblies;Trade in household goods;Importer and distributor of fashion brands for clothing and footwear: Bugatti, Fynch Hatton, Gant, Lacoste, MAC, Pepe Jeans, Pierre Cardin, Ralph Lauren, Esprit, s.Oliver, Marco Tozzi, Skechers, U.S. Polo Assn, Jack & Jones etc.",www.retrohome.ba,0,0,1,7,6,8,YES,NO,NO
304,MAT - STAR BG EOOD,BG,Bulgarie,MIROVYANE,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear,Retail,,Engaged in the retail sale of footwear [source: Bureau van Dijk],www.matstar.bg,2,1,1,7,6,8,YES,NO,NO
305,EUROFESHN TREJD UV IZ SKOPJE DOO,MK,Macédoine du Nord,SKOPJE,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,trade in clothes,,1,0,0,7,6,6,YES,NO,NO
306,G&G.PL SP. Z O.O. SP.K.,PL,Pologne,WARSZAWA,,4771,Commerce de détail d'habillement en magasin spécialisé,Primarily engaged in the wholesale of clothing and footwear products,Wholesale,,"Trade: outwear, footwear",www.terranova-on-line.com,1,0,1,7,7,19,YES,NO,NO
307,GIOIELLERIA WARGAS SISTI DEI F.LLI MELANI S.R.L.,IT,Italie,ANCONA,CORSO GIUSEPPE GARIBALDI 39,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the manufacture, repair and retail sale of jewelry products",Manufacturing,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,"Engaged in the manufacture, repair and retail sale of jewelry products [source: Bureau van Dijk]","wargasisti.com
gioielleriawargasisti.com",0,0,0,7,6,6,YES,NO,NO
308,SKLEP JUBILERSKI SEZAM BOGDAN BUCZEK,PL,Pologne,STARY SACZ,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,,,www.jubilersezam.pl,1,1,1,7,6,7,YES,NO,NO
309,GLN S.R.L.,IT,Italie,TARANTO,VIA PRINCIPE AMEDEO 54,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,,,0,0,0,7,6,6,YES,NO,NO
310,MALALAN D.O.O.,HR,Croatie,ZAGREB,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,,,malalan.si,2,1,1,7,5,5,YES,NO,NO
311,SHOE HOUSE OY,FI,Finlande,PIRKKALA,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,,,"Yhtiön toimialana on sijoitus-, kehitys- ja rahoitusyhtiönä toimiminen, toimisto- ja hallinnollisten palveluiden tuottaminen, vuokraus, välitys ja kauppa sekä liikkeenjohdon, sijoitustoiminnan, hallinnon ja markkinoinnin koulutus ja konsultointi, kiinteistöjen, asunto-, kiinteistö-, loma- ja peliosakkeiden, osuuksien ja oikeuksien omistaminen, hallinnointi, osto, myynti ja vuokraus, arvopaperikauppa, isännöintitoiminta, kiinteistö- ja siivouspalvelutoiminta, päivittäistavaroiden kauppa, vienti ja tuonti, tilitoimistotoiminta, kuljetuspalvelut, vaatteiden ja tekstiilien, kodin käyttötavaroiden, tietotekniikan, oheislaitteiden, ohjelmistojen ja tarvikkeiden osto, myynti, vuokraus, maahantuonti ja vienti sekä alaan kuuluva konsultointi, mietojen alkoholijuomien ja oluiden maahantuonti ja vienti sekä kauppa, ravintolatoiminta, vapaa-ajan tavaroiden vienti, tuonti, vuokraus, osto ja myynti, autojen osto, myynti, vuokraus, tuonti ja vienti. Lisäksi yhtiön toimialaan kuuluu kenkä- ja vaatetavaroiden maahantuonti, tukku- ja vähittäismyynti, huolinta sekä tavaramerkkien rakentaminen, kenkä- ja vaatealan sekä muiden alojen franchising-toiminnan ja ketjukonseptien kehittäminen, tuotteistaminen, myyminen sekä liiketoiminnan käynnistäminen ja toiminnan ylläpitäminen. Toimialana on lisäksi franchising- sekä ketjutoiminnan ja vähittäiskaupan alan konsultointi ja koulutustoiminta.","Yhtion toimialana on sijoitus-, kehitys- ja rahoitusyhtiona toimiminen, toimisto- ja hallinnollisten palveluiden tuottaminen, vuokraus, valitys ja kauppa seka liikkeenjohdon, sijoitustoiminnan, hallinnon ja markkinoinnin koulutus ja konsultointi, kiinteistojen, asunto-, kiinteisto-, loma- ja peliosakkeiden, osuuksien ja oikeuksien omistaminen, hallinnointi, osto, myynti ja vuokraus, arvopaperikauppa, isannointitoiminta, kiinteisto- ja siivouspalvelutoiminta, paivittaistavaroiden kauppa, vienti ja tuonti, tilitoimistotoiminta, kuljetuspalvelut, vaatteiden ja tekstiilien, kodin kayttotavaroiden, tietotekniikan, oheislaitteiden, ohjelmistojen ja tarvikkeiden osto, myynti, vuokraus, maahantuonti ja vienti seka alaan kuuluva konsultointi, mietojen alkoholijuomien ja oluiden maahantuonti ja vienti seka kauppa, ravintolatoiminta, vapaa-ajan tavaroiden vienti, tuonti, vuokraus, osto ja myynti, autojen osto, myynti, vuokraus, tuonti ja vienti. Lisaksi yhtion toimialaan kuuluu kenka- ja vaatetavaroiden maahantuonti, tukku- ja vahittaismyynti, huolinta seka tavaramerkkien rakentaminen, kenka- ja vaatealan seka muiden alojen franchising-toiminnan ja ketjukonseptien kehittaminen, tuotteistaminen, myyminen seka liiketoiminnan kaynnistaminen ja toiminnan yllapitaminen. Toimialana on lisaksi franchising- seka ketjutoiminnan ja vahittaiskaupan alan konsultointi ja koulutustoiminta.","www.clickshoes.fi
veska.fi",1,0,0,7,5,6,YES,NO,NO
312,PASS COMPANY S.R.L. (CON SIGLA: PASS S.R.L. ),IT,Italie,MONTAGNANA,VIA DELL'INDUSTRIA 1/2,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of a family clothing store,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the operation and management of a family clothing store [source: Bureau van Dijk],www.galantemontagnana.it,0,0,0,7,6,7,YES,NO,YES
313,LUIGI VERGA OROLOGI & C. SRL,IT,Italie,MILANO,LARGO SETTIMIO SEVERO 2,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in providing repair and maintenance of watches and other personal goods,Services,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,Engaged in providing repair and maintenance of watches and other personal goods [source: Bureau van Dijk],www.vergaorologi.it,1,0,0,7,5,7,YES,NO,NO
314,PICCINI UGO E FIGLIO - S.P.A.,IT,Italie,FIRENZE,VIA POR SANTA MARIA 9 R-11 R,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,www.ugopiccini.it,1,0,0,7,6,5,YES,NO,NO
315,UNO-NK,ME,Monténégro,NIKSIC,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear for men, women and children",Retail,,Retail sale of footwear and leather goods in specialised stores,,1,0,0,7,7,9,YES,NO,NO
316,MARDI SAS,FR,France,ANDREZIEUX BOUTHEON,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,,,Vente au détail de maroquinerie et accessoires.,,www.dalery.com,0,0,0,7,6,8,YES,NO,NO
317,TIGER STORES SPAIN 5 SL.,ES,Espagne,BILBAO,,4751,Commerce de détail de textiles en magasin spécialisé,,,"COMERCIALIZACION EN SU MAS AMPLIA ACEPCION DE LOS SIGUIENTES PRODUCTOS: COMERCIO AL POR MAYOR Y POR MENOR DE PRODUCTOS PARA EL EQUIPAMIENTO, MANTENIMIENTO Y FUNCIONAMIENTO DEL HOGAR, PORCELANA, CRISTALERIA, ETC",,www.tiger-stores.es,1,1,1,7,7,8,YES,NO,NO
318,NORON EHF.,IS,Islande,REYKJAVIK,,4771,Commerce de détail d'habillement en magasin spécialisé,,,"Tilgangur félagsins er rekstur á fataverslun á Íslandi, lánastarfsemi, rekstur fasteigna og skyldur atvinnurekstur.",Retail sale of clothing (execpt children's clothing) in specialised stores.,,0,0,0,7,5,5,YES,YES,
319,SALAMANDER HUNGARIA KERESKEDELMI KORLATOLT FELELOSSEGU TARSASAG,HU,Hongrie,BUDAPEST,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the wholesale distribution of clothing and footwear products,Wholesale,,Engaged in the wholesale distribution of clothing and footwear products [source: Bureau van Dijk],www.salamander.hu,-1,-1,0,7,6,10,YES,YES,
320,OTTODISANPIETRO SA,ES,Espagne,A CORUNA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing and accessories in Spain,Retail,"Comercio al por menor de prendas de vestir,complementos y calzado de señora y caballero.",Engaged in the retail sale of clothing and accessories in Spain [source: Bureau van Dijk],www.ottodisanpietro.com,1,1,0,7,7,7,YES,NO,NO
321,GULBA TEKSTIL INSAAT MADEN TURIZM GIDA REKLAM SANAYI VE TICARET ANONIM SIRKETI,TR,Turquie,MERKEZ,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of outerwear and other related products,Retail,,Subject is involved in retail trade of outerwear.,www.kasaba.com.tr,0,0,0,7,8,14,YES,NO,NO
322,SOCIETE NANTAISE DE BIJOUTERIE,FR,France,NANTES,BP 1231,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Primarily engaged in the retail sale of jewelry, watches, precious stones, and precious metals",Retail,"Fabrication, vente au detail d'horlogerie, bijouterie, joaillerie, orfevrerie, cadeaux","Primarily engaged in the retail sale of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]",,1,0,0,7,6,6,YES,NO,NO
323,MOVEM & CO,RS,Serbie,BEOGRAD (NOVI BEOGRAD),,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of clothing for men and women,Retail,,Retail sale of clothing in specialised stores,www.movem.rs,1,0,0,7,5,5,YES,NO,NO
324,L'ANGOLO DELLE ORE S.R.L.,IT,Italie,MEDE,CORSO CAMILLO BENSO DI CAVOUR 1,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,www.angolodelleore.com,1,1,0,7,6,7,YES,NO,NO
325,ESPANSIONE SOCIETA' A RESPONSABILITA' LIMITATA,IT,Italie,BARI,VIA PASQUALE FIORE 34,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CALZATURE E ACCESSORI,,,0,0,0,7,5,6,YES,NO,NO
326,S.C.A.R.ING.I. S.R.L.,IT,Italie,MISTERBIANCO,VIA CARLO MARX 174,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,Engaged in the operation and management of clothing stores [source: Bureau van Dijk],www.scaringi.it,0,0,0,7,6,9,YES,NO,NO
327,ARIDON MOLDOVA SRL,RO,Roumanie,BUCURESTI SECTORUL 1,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,,1,-1,0,7,5,7,YES,NO,NO
328,PROJECT DISTRIBUTION,BE,Belgique,BRUXELLES,BOLLINCKXSTRAAT 254 B.1,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the wholesale distribution of the finest skateboarding products,Wholesale,,Engaged in the wholesale distribution of the finest skateboarding products [source: Bureau van Dijk],www.projectdistribution.com,1,0,0,7,5,5,YES,NO,NO
329,TORGOVYI DOM ORBI,RU,Fédération de Russie,KOSTROMA,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the wholesale of clothing, including underwear, and footwear",Wholesale,,"Engaged in the wholesale of clothing, including underwear, and footwear [source: Bureau van Dijk]",orby.ru,0,0,0,7,6,9,YES,NO,NO
330,VIKTORIYA,RU,Fédération de Russie,MOSCOW,"PROEZD KHLEBOZAVODSKII D. 7, STR. 9, E/POM/K/OF 8/XV/10A/10",4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail of clothing products and accessories, specialising in fur products",Retail,"??????? ??????? ??????, ???? ? ??????????? ????? ???? ????????? «????»","Engaged in the retail of clothing products and accessories, specialising in fur products [source: Bureau van Dijk]",alefmex.ru,0,0,0,7,6,13,YES,NO,NO
331,PARABITA S.A.,GR,Grèce,ATHENS,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,"Imports and trade of women's wear, accessories, swimming suits, underwear and cosmetics (sales mainly via internet). Operation of a furnished villa",www.parabita.com,0,0,0,7,5,7,YES,NO,NO
332,PAPRIKA FRANCE,FR,France,DOUAI,,4771,Commerce de détail d'habillement en magasin spécialisé,,,"La vente au détail de tous produits textiles, vêtements et chaussures, bijoux de fantaisie, tous articles de maroquinerie.",,www.cassis.be,0,-1,0,7,8,10,YES,YES,
333,ANDROMEDA SRL,IT,Italie,PONTEDERA,PIAZZA MARTIRI DELLA LIBERTA' 1,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,www.casacapone.com,1,0,1,7,5,5,YES,NO,NO
334,AMBROSIO OLBIA FLY SHOP S.R.L.,IT,Italie,OLBIA,CORSO UMBERTO I 175,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,,www.ambrosiolacorte.it,0,0,0,7,4,9,YES,NO,NO
335,ASKELAND AS,NO,Norvège,STAVANGER,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the manufacture and sale of watches,Manufacturing; Retail; Services,SALG AV UR OG SMYKKER.,Engaged in the manufacture and sale of watches [source: Bureau van Dijk],www.askeland.no,1,0,0,7,6,6,YES,NO,NO
336,KL MOBERG SKOTOEYFORRETNING AS,NO,Norvège,PARADIS,POSTBOKS 6083,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear for men, women and children",Retail,OMSETNING AV SKOTØY OG HVA DERMED STÅR I FOR- BINDELSE.,"Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear for men, women and children [source: Bureau van Dijk]",,1,0,0,7,5,7,YES,NO,NO
337,NAHKAPAIKKA OY TOIVONEN,FI,Finlande,TUURI,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail distribution of footwear and leather goods,Retail,"Yhtiön toimialana on nahka-alan tuotteiden ja tarvikkeiden, laukkujen ja kenkien, sekä pukeutumisen vähittäis- ja tukkukauppa, sekä maahantuonti. Yhtiö voi omistaa arvopapereita, osakkeita ja kiinteistöjä, sekä käydä niillä kauppaa.","Yhtion toimialana on nahka-alan tuotteiden ja tarvikkeiden, laukkujen ja kenkien, seka pukeutumisen vahittais- ja tukkukauppa, seka maahantuonti. Yhtio voi omistaa arvopapereita, osakkeita ja kiinteistoja, seka kayda niilla kauppaa.",www.nahkapaikka.fi,1,1,1,7,7,9,YES,NO,NO
338,VESCHETTI GIOIELLI DUE S.R.L.,IT,Italie,BRESCIA,CORSO PALESTRO 10/A,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,www.veschetti.com,1,1,0,7,5,6,YES,NO,NO
339,SAJLILA KUNDLANI SL,ES,Espagne,SAN BARTOLOME DE TIRAJANA,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail sale of apparel, accessories and other textile products",Retail,"Comercio al por menor de prendas de vestir de señora , caballero y niño","Engaged in the retail sale of apparel, accessories and other textile products [source: Bureau van Dijk]",www.mosfashion.es,1,0,1,7,4,9,YES,NO,NO
340,BIAGINI 1863 - S.P.A.,IT,Italie,PERUGIA,VIA GUGLIELMO CALDERINI 13,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,"www.biagini1863.it
biagini1863.com",1,1,1,7,5,6,YES,NO,NO
